Heart,Lung_L,Lung_R,patient_id
0.907,0.968,0.972,Patient 01
0.96,0.979,0.974,Patient 02
0.947,0.962,0.967,Patient 03
0.957,0.955,0.966,Patient 04
0.943,0.967,0.967,Patient 05
0.963,0.96,0.972,Patient 06
0.959,0.957,0.963,Patient 07
0.958,0.964,0.965,Patient 08
0.961,0.965,0.967,Patient 09
0.95,0.96,0.969,Patient 10
0.952,0.96,0.96,Patient 11
0.925,0.964,0.968,Patient 12
0.959,0.963,0.967,Patient 13
0.894,0.966,0.964,Patient 14
0.96,0.956,0.967,Patient 15
0.935,0.978,0.972,Patient 16
0.942,0.949,0.962,Patient 17
0.953,0.957,0.972,Patient 18
0.935,0.966,0.973,Patient 19
0.947,0.966,0.966,Patient 20
0.945,0.962,0.962,Patient 21
0.965,0.968,0.968,Patient 22
0.939,0.966,0.965,Patient 23
0.959,0.97,0.972,Patient 24
0.948,0.956,0.965,Patient 25
0.95,0.969,0.971,Patient 26
0.958,0.967,0.97,Patient 27
0.975,0.965,0.97,Patient 28
0.963,0.965,0.969,Patient 29
0.926,0.954,0.961,Patient 30
